country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/8/2021,-45,-5,31,-40,-44,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/9/2021,-52,-7,-10,-46,-42,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/10/2021,-50,-2,-2,-43,-41,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/11/2021,-54,-7,-16,-45,-42,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/12/2021,-52,-3,-14,-40,-41,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/13/2021,-50,-8,-8,-32,-20,9
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/14/2021,-56,-12,12,-35,-23,7
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/15/2021,-51,-10,-3,-43,-44,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/16/2021,-53,-8,-20,-45,-42,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/17/2021,-52,-2,-1,-43,-40,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/18/2021,-55,-7,-15,-44,-41,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/19/2021,-49,0,30,-37,-40,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/20/2021,-47,-8,78,-24,-15,7
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/21/2021,-56,-8,20,-34,-21,7
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/22/2021,-50,-9,11,-41,-44,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/23/2021,-48,-2,52,-42,-41,13
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/24/2021,-44,3,72,-38,-40,12
